,K,D,A,Gold,Level,Win,Time_seconds
0,3.0,2.8,7.0,11217.0,15.0,0,1104
1,2.8,3.0,6.0,11746.2,15.0,1,1104
2,3.2,2.4,7.0,10073.8,14.4,1,992
3,2.4,3.2,5.0,9559.8,14.8,0,992
4,3.4,1.0,9.0,10627.6,15.0,1,1033
5,1.0,3.4,3.0,9078.4,14.6,0,1033
6,0.6,1.8,1.4,7379.2,13.2,0,864
7,1.8,0.6,5.2,9189.8,14.8,1,864
8,2.6,1.2,8.2,10517.2,15.0,1,1016
9,1.2,2.6,2.6,8845.4,14.4,0,1016
10,1.4,2.6,3.0,13211.6,15.0,1,1357
11,2.6,1.4,4.6,12668.2,15.0,0,1357
12,2.4,3.4,5.8,9832.4,14.8,0,1072
13,3.4,2.4,9.4,11853.0,15.0,1,1072
14,3.2,1.8,8.2,12548.2,15.0,1,1303
15,1.8,3.2,4.2,12262.8,15.0,0,1303
16,3.0,0.8,8.4,10309.8,14.8,1,895
17,0.8,3.0,2.4,7816.0,13.6,0,895
18,0.6,3.0,1.2,6307.8,12.0,0,787
19,3.0,0.6,6.2,9189.8,14.2,1,787
20,3.0,0.6,8.2,9101.4,14.4,1,785
21,0.6,3.0,1.2,6495.6,12.2,0,785
22,3.2,2.8,8.4,11963.8,15.0,1,1212
23,2.8,3.2,6.2,11723.4,15.0,0,1212
24,1.2,3.6,2.4,6344.0,11.6,0,722
25,3.6,1.2,7.8,8741.4,13.6,1,722
26,1.0,3.2,1.8,7552.6,12.4,0,804
27,3.2,1.0,7.2,9624.6,14.2,1,804
28,4.4,1.2,12.8,9667.4,15.0,1,1019
29,1.2,4.4,2.4,9630.4,14.6,0,1019
30,1.6,3.2,3.8,7580.6,13.0,0,864
31,3.2,1.6,6.4,9753.4,14.6,1,864
32,4.0,2.8,7.8,15302.0,15.0,1,1515
33,2.8,4.0,4.4,14571.2,15.0,0,1515
34,2.2,2.6,6.0,13729.0,15.0,1,1360
35,2.6,2.2,5.8,13295.6,15.0,0,1360
36,0.8,2.8,2.2,8202.6,14.0,0,987
37,2.8,0.8,7.2,11098.4,15.0,1,987
38,3.2,2.4,8.0,13337.4,15.0,1,1239
39,2.4,3.2,4.2,12866.0,15.0,0,1303
40,3.6,4.4,7.2,19042.8,15.0,1,1853
41,4.4,3.6,8.8,18185.8,15.0,0,1853
42,1.4,2.4,3.0,9961.8,15.0,0,1066
43,2.2,1.4,5.8,10328.4,15.0,1,1066
44,0.4,2.6,1.0,7397.2,13.4,0,883
45,2.6,0.4,6.2,9840.4,14.6,1,883
46,3.6,3.6,6.8,14407.16,15.0,0,1832
47,3.6,3.6,8.4,18916.4,15.0,1,1832
48,2.6,0.2,6.6,8380.8,13.4,1,678
49,0.2,2.6,0.0,5104.6,10.4,0,678
50,2.0,2.4,4.4,11106.0,15.0,0,1188
51,2.4,2.0,6.2,12613.8,15.0,1,1188
52,4.2,0.6,6.4,10692.4,14.8,1,949
53,0.6,4.2,1.2,8105.8,13.8,0,949
54,0.8,3.0,1.4,6673.8,11.8,0,735
55,3.0,0.8,7.6,8214.0,13.4,1,836
56,4.0,0.8,12.6,13195.2,15.0,1,1241
57,0.8,4.0,2.6,10791.8,15.0,0,1241
58,3.2,2.6,9.0,13874.4,15.0,0,1430
59,2.6,3.2,6.0,13287.0,15.0,1,1430
60,4.4,1.2,10.8,13718.0,15.0,1,1340
61,1.2,4.4,2.8,12818.4,15.0,0,1340
62,2.6,0.6,5.0,8584.2,13.6,1,716
63,0.6,2.6,1.4,6001.2,11.2,0,716
64,2.4,3.8,4.8,9996.0,14.8,0,1089
65,3.8,2.4,5.2,11643.6,15.0,1,1089
66,4.8,1.6,7.4,9455.8,14.4,1,800
67,1.6,4.8,3.8,7174.6,12.6,0,800
68,0.2,2.6,0.4,7472.4,13.2,0,849
69,2.6,0.2,5.0,9004.8,14.2,1,849
70,3.2,0.8,7.2,10386.2,14.6,1,876
71,0.8,3.2,1.8,7600.2,12.8,0,876
72,1.0,3.4,0.8,7719.0,13.0,0,854
73,3.4,1.0,8.4,9767.2,14.8,1,854
74,1.0,3.0,0.6,7831.4,13.2,0,872
75,3.2,1.0,6.0,9956.4,14.6,1,872
76,3.4,2.0,8.4,11055.4,15.0,1,1064
77,2.0,3.4,5.0,9497.6,14.8,0,1064
78,1.8,1.2,4.8,7308.0,12.4,1,682
79,1.2,1.8,3.0,5647.0,11.2,0,682
80,1.6,3.6,3.8,10140.8,15.0,0,1130
81,3.6,1.6,9.6,11980.4,15.0,1,1130
82,2.2,1.2,7.0,11405.4,15.0,1,1103
83,1.2,2.2,3.8,10071.4,15.0,0,1103
84,0.8,2.4,1.8,9430.0,14.8,0,1124
85,2.4,0.8,5.8,11712.2,15.0,1,1124
86,1.4,2.4,1.6,8728.6,14.6,0,966
87,2.4,1.4,5.8,9712.6,14.6,1,966
88,2.2,0.6,5.2,10806.8,15.0,1,1049
89,0.6,2.2,1.0,8909.0,14.6,0,1049
90,4.8,1.2,12.0,12637.0,15.0,1,1176
91,1.2,4.8,3.4,10823.4,14.6,0,1176
92,2.8,3.6,8.0,11609.2,15.0,1,1141
93,3.6,2.8,9.0,11248.0,15.0,0,1141
94,2.6,1.0,7.4,10017.4,15.0,1,916
95,1.0,2.6,3.0,8097.8,15.0,0,916
96,0.0,3.4,0.0,8836.4,14.8,0,1134
97,3.4,0.0,7.2,12611.0,15.0,1,1134
98,1.2,2.4,2.0,6755.0,12.0,0,783
99,2.4,1.2,5.4,8178.6,13.6,1,783
100,4.0,1.0,6.8,11291.8,15.0,1,1075
101,1.0,4.0,2.0,8651.2,14.4,0,1075
102,0.2,1.6,0.6,7186.2,12.8,0,846
103,1.6,0.2,4.6,9549.2,14.6,1,846
104,3.2,1.6,6.0,10626.2,15.0,1,1038
105,1.6,3.2,3.2,9397.0,14.6,0,1038
106,2.8,2.4,5.6,12741.8,15.0,1,1290
107,2.4,2.8,5.6,12546.8,15.0,0,1290
108,3.4,1.8,7.0,10049.8,14.8,1,921
109,1.8,3.4,3.2,7844.8,13.4,0,921
110,5.0,2.6,11.2,16912.0,15.0,1,1675
111,2.6,5.0,4.6,16043.0,15.0,0,1675
112,2.4,0.4,6.2,9862.2,14.4,1,847
113,0.4,2.4,1.2,6863.2,12.6,0,847
114,2.2,3.4,5.6,12511.0,15.0,0,1336
115,3.4,2.2,10.0,13823.0,15.0,1,1336
116,1.8,2.2,5.8,11124.0,15.0,0,1217
117,2.2,1.8,6.6,12162.4,15.0,1,1217
118,0.2,2.2,0.6,8493.0,14.6,0,1036
119,2.2,0.2,5.0,10784.2,15.0,1,1036
120,0.4,3.8,1.2,8940.0,14.8,0,1060
121,3.8,0.4,8.8,12020.0,15.0,1,1060
122,1.6,2.6,2.8,9100.0,14.6,0,1056
123,2.6,1.6,6.8,10180.0,15.0,1,1056
124,2.4,1.4,5.4,12200.0,15.0,1,1220
125,1.4,2.4,3.0,10780.0,15.0,0,1220
126,3.8,2.0,7.4,10400.0,15.0,1,1065
127,2.0,3.8,2.6,9840.0,14.6,0,1065
128,1.4,3.0,4.0,8840.0,14.4,0,970
129,3.0,1.4,4.4,10160.0,14.8,1,970
130,2.6,2.4,6.0,14980.0,15.0,1,1597
131,2.4,2.6,5.8,14160.0,15.0,0,1597
132,2.2,1.2,6.4,10040.0,14.8,1,986
133,1.2,2.2,2.4,8500.0,14.0,0,986
134,2.0,1.4,4.8,14100.0,15.0,1,1574
135,1.4,2.0,4.0,14540.0,15.0,0,1574
136,1.4,2.8,3.0,8820.0,14.4,0,1044
137,2.8,1.4,5.8,10520.0,15.0,1,1044
138,2.6,3.0,5.8,12420.0,15.0,0,1315
139,3.0,2.6,5.6,12500.0,15.0,1,1315
140,2.6,3.2,6.6,10540.0,15.0,0,1117
141,3.2,2.6,8.0,11420.0,15.0,1,1117
142,1.6,2.6,4.6,15860.0,15.0,0,1718
143,2.6,1.6,7.4,17520.0,15.0,1,1718
